"fecha","nombre_provincia_indec","tipo_vehiculo","cantidad"
"2016-10-01",CABA,moto,1708
"2016-11-01",CABA,moto,1866
"2016-12-01",CABA,moto,1778
"2017-01-01",CABA,moto,2363
"2017-02-01",CABA,moto,1687
"2017-03-01",CABA,moto,2218
"2017-04-01",CABA,moto,2010
"2017-05-01",CABA,moto,2064
"2017-06-01",CABA,moto,1654
"2017-07-01",CABA,moto,1703
"2017-08-01",CABA,moto,2119
"2017-09-01",CABA,moto,2219
"2017-10-01",CABA,moto,2145
"2017-11-01",CABA,moto,2320
"2017-12-01",CABA,moto,1990
"2018-01-01",CABA,moto,2573
"2018-02-01",CABA,moto,1864
"2018-03-01",CABA,moto,2315
"2018-04-01",CABA,moto,2060
"2018-05-01",CABA,moto,2267
"2018-06-01",CABA,moto,1579
"2018-07-01",CABA,moto,1739
"2018-08-01",CABA,moto,1871
"2018-09-01",CABA,moto,2119
"2018-10-01",CABA,moto,1967
"2018-11-01",CABA,moto,1651
"2018-12-01",CABA,moto,1247
"2019-01-01",CABA,moto,1944
"2019-02-01",CABA,moto,1439
"2019-03-01",CABA,moto,1530
"2019-04-01",CABA,moto,1524
"2019-05-01",CABA,moto,1380
"2019-06-01",CABA,moto,1148
"2019-07-01",CABA,moto,1740
"2019-08-01",CABA,moto,1587
"2019-09-01",CABA,moto,1146
"2019-10-01",CABA,moto,1638
"2019-11-01",CABA,moto,1281
"2019-12-01",CABA,moto,1155
"2020-01-01",CABA,moto,1529
"2020-02-01",CABA,moto,1182
"2020-03-01",CABA,moto,989
"2020-04-01",CABA,moto,352
"2020-05-01",CABA,moto,1215
"2020-06-01",CABA,moto,1798
"2020-07-01",CABA,moto,1352
"2020-08-01",CABA,moto,1841
"2020-09-01",CABA,moto,1902
"2020-10-01",CABA,moto,1822
"2020-11-01",CABA,moto,1581
"2020-12-01",CABA,moto,1182
"2021-01-01",CABA,moto,1480
"2021-02-01",CABA,moto,1194
"2021-03-01",CABA,moto,1671
"2021-04-01",CABA,moto,1435
"2021-05-01",CABA,moto,1133
"2021-06-01",CABA,moto,1776
"2021-07-01",CABA,moto,1663
"2021-08-01",CABA,moto,1843
"2021-09-01",CABA,moto,1858
"2021-10-01",CABA,moto,1805
"2021-11-01",CABA,moto,1757
"2021-12-01",CABA,moto,1357
"2022-01-01",CABA,moto,1418
"2022-02-01",CABA,moto,1456
"2022-03-01",CABA,moto,1733
"2022-04-01",CABA,moto,1763
"2022-05-01",CABA,moto,1949
"2022-06-01",CABA,moto,1641
"2022-07-01",CABA,moto,1626
"2022-08-01",CABA,moto,1784
"2022-09-01",CABA,moto,1507
"2022-10-01",CABA,moto,1414
"2022-11-01",CABA,moto,1662
"2022-12-01",CABA,moto,1274
"2023-01-01",CABA,moto,1960
"2023-02-01",CABA,moto,1448
"2023-03-01",CABA,moto,1852
"2023-04-01",CABA,moto,1765
"2023-05-01",CABA,moto,1995
"2023-06-01",CABA,moto,1644
"2023-07-01",CABA,moto,1795
"2023-08-01",CABA,moto,2042
"2023-09-01",CABA,moto,1756
"2023-10-01",CABA,moto,2144
"2023-11-01",CABA,moto,1927
"2023-12-01",CABA,moto,1618
"2024-01-01",CABA,moto,1560
"2024-01-01",CABA,auto,6052
"2024-02-01",CABA,moto,1360
"2024-02-01",CABA,auto,4680
"2024-03-01",CABA,moto,1238
"2024-03-01",CABA,auto,4857
"2024-04-01",CABA,moto,1529
"2024-04-01",CABA,auto,6410
"2024-05-01",CABA,auto,6679
"2024-05-01",CABA,moto,1573
"2024-06-01",CABA,moto,1248
"2024-06-01",CABA,auto,5771
"2024-07-01",CABA,auto,7865
"2024-07-01",CABA,moto,1265
"2024-08-01",CABA,moto,2111
"2024-08-01",CABA,auto,7918
"2024-09-01",CABA,moto,1002
"2024-09-01",CABA,auto,8443
"2014-01-01",Buenos Aires,auto,35306
"2014-02-01",Buenos Aires,auto,19362
"2014-03-01",Buenos Aires,auto,16892
"2014-04-01",Buenos Aires,auto,17525
"2014-05-01",Buenos Aires,auto,18310
"2014-06-01",Buenos Aires,auto,16704
"2014-07-01",Buenos Aires,auto,19624
"2014-08-01",Buenos Aires,auto,18820
"2014-09-01",Buenos Aires,auto,18495
"2014-10-01",Buenos Aires,auto,17118
"2014-11-01",Buenos Aires,auto,12187
"2014-12-01",Buenos Aires,auto,9367
"2015-01-01",Buenos Aires,auto,20960
"2015-02-01",Buenos Aires,auto,14048
"2015-03-01",Buenos Aires,auto,15770
"2015-04-01",Buenos Aires,auto,16885
"2015-05-01",Buenos Aires,auto,15522
"2015-06-01",Buenos Aires,auto,18435
"2015-07-01",Buenos Aires,auto,20220
"2015-08-01",Buenos Aires,auto,18779
"2015-09-01",Buenos Aires,auto,22167
"2015-10-01",Buenos Aires,auto,19215
"2015-11-01",Buenos Aires,auto,16987
"2015-12-01",Buenos Aires,auto,10320
"2016-01-01",Buenos Aires,auto,18239
"2016-02-01",Buenos Aires,auto,15833
"2016-03-01",Buenos Aires,auto,18699
"2016-04-01",Buenos Aires,auto,20078
"2016-05-01",Buenos Aires,auto,19690
"2016-06-01",Buenos Aires,auto,17792
"2016-07-01",Buenos Aires,auto,20592
"2016-08-01",Buenos Aires,auto,23795
"2016-09-01",Buenos Aires,auto,23298
"2016-10-01",Buenos Aires,auto,21149
"2016-11-01",Buenos Aires,auto,19958
"2016-12-01",Buenos Aires,auto,14071
"2017-01-01",Buenos Aires,auto,30281
"2017-02-01",Buenos Aires,auto,18713
"2017-03-01",Buenos Aires,auto,25141
"2017-04-01",Buenos Aires,auto,21094
"2017-05-01",Buenos Aires,auto,24851
"2017-06-01",Buenos Aires,auto,24922
"2017-07-01",Buenos Aires,auto,25622
"2017-08-01",Buenos Aires,auto,27989
"2017-09-01",Buenos Aires,auto,25658
"2017-10-01",Buenos Aires,auto,25425
"2017-11-01",Buenos Aires,auto,23585
"2017-12-01",Buenos Aires,auto,14900
"2018-01-01",Buenos Aires,auto,38379
"2018-02-01",Buenos Aires,auto,21380
"2018-03-01",Buenos Aires,auto,26526
"2018-04-01",Buenos Aires,auto,23350
"2018-05-01",Buenos Aires,auto,24683
"2018-06-01",Buenos Aires,auto,18958
"2018-07-01",Buenos Aires,auto,19533
"2018-08-01",Buenos Aires,auto,19505
"2018-09-01",Buenos Aires,auto,15403
"2018-10-01",Buenos Aires,auto,14116
"2018-11-01",Buenos Aires,auto,11480
"2018-12-01",Buenos Aires,auto,8481
"2019-01-01",Buenos Aires,auto,18450
"2019-02-01",Buenos Aires,auto,11628
"2019-03-01",Buenos Aires,auto,11429
"2019-04-01",Buenos Aires,auto,10827
"2019-05-01",Buenos Aires,auto,10610
"2019-06-01",Buenos Aires,auto,10677
"2019-07-01",Buenos Aires,auto,14799
"2019-08-01",Buenos Aires,auto,12511
"2019-09-01",Buenos Aires,auto,10317
"2019-10-01",Buenos Aires,auto,9486
"2019-11-01",Buenos Aires,auto,7219
"2019-12-01",Buenos Aires,auto,6096
"2020-01-01",Buenos Aires,auto,12858
"2020-02-01",Buenos Aires,auto,8104
"2020-03-01",Buenos Aires,auto,5431
"2020-04-01",Buenos Aires,auto,1156
"2020-05-01",Buenos Aires,auto,5864
"2020-06-01",Buenos Aires,auto,10211
"2020-07-01",Buenos Aires,auto,8362
"2020-08-01",Buenos Aires,auto,8677
"2020-09-01",Buenos Aires,auto,10654
"2020-10-01",Buenos Aires,auto,11237
"2020-11-01",Buenos Aires,auto,10094
"2020-12-01",Buenos Aires,auto,6271
"2021-01-01",Buenos Aires,auto,14411
"2021-02-01",Buenos Aires,auto,8562
"2021-03-01",Buenos Aires,auto,10527
"2021-04-01",Buenos Aires,auto,9289
"2021-05-01",Buenos Aires,auto,6425
"2021-06-01",Buenos Aires,auto,10712
"2021-07-01",Buenos Aires,auto,9081
"2021-08-01",Buenos Aires,auto,8781
"2021-09-01",Buenos Aires,auto,8881
"2021-10-01",Buenos Aires,auto,7590
"2021-11-01",Buenos Aires,auto,7991
"2021-12-01",Buenos Aires,auto,4788
"2022-01-01",Buenos Aires,auto,12128
"2022-02-01",Buenos Aires,auto,8224
"2022-03-01",Buenos Aires,auto,9918
"2022-04-01",Buenos Aires,auto,8899
"2022-05-01",Buenos Aires,auto,9675
"2022-06-01",Buenos Aires,auto,9745
"2022-07-01",Buenos Aires,auto,10864
"2022-08-01",Buenos Aires,auto,10434
"2022-09-01",Buenos Aires,auto,9443
"2022-10-01",Buenos Aires,auto,8779
"2022-11-01",Buenos Aires,auto,9431
"2022-12-01",Buenos Aires,auto,5431
"2023-01-01",Buenos Aires,auto,14373
"2023-02-01",Buenos Aires,auto,8830
"2023-03-01",Buenos Aires,auto,11349
"2023-04-01",Buenos Aires,auto,9872
"2023-05-01",Buenos Aires,auto,11236
"2023-06-01",Buenos Aires,auto,11316
"2023-07-01",Buenos Aires,auto,12730
